,RF_Importance,XGB_Importance,SHAP_RF,SHAP_XGB,Statistical_Sig,Consensus_Score
Hes1,0.06919228422557769,0.0,0.05202725168868428,0.0,0.0749096484235921,0.039225836867570814
Egr2,0.08617390096636653,0.0,0.04838261194202898,0.0,0.04894652747140641,0.036700608075960386
Bmp2,0.06378570504853952,0.0,0.05277486705207237,0.0,0.06058427748658585,0.035428969917439546
Dlk1,0.09559975144669906,0.0,0.08143275982546547,0.0,0.0,0.035406502254432905
Gapdh,0.03825953365095974,0.0,0.02887389343525174,0.0,0.10929585936050787,0.03528585728934387
Cebpb,0.052936503045111875,0.0,0.05951046453831575,0.0,0.05833476719445977,0.034156346955577475
Dio2,0.02921205194296539,0.0,0.02676856232592011,0.0,0.11175086754289988,0.03354629636235708
E2f1,0.02081854380550701,0.0,0.021466394690831433,0.0,0.12202945964341895,0.03286287962795148
Sirt3,0.03425596753451608,0.0,0.028573947641517067,0.0,0.09231813061308884,0.0310296091578244
Bmp7,0.08054343116442257,0.0,0.05904557690829108,0.0,0.01522774825498506,0.03096335126553974
Fasn,0.04749061323944554,0.0,0.041464630457036994,0.0,0.061847243437690685,0.030160497426834642
Prdm16,0.018505372271561786,0.0,0.021750180834052998,0.0,0.1099317884614796,0.030037468313418875
Wnt1,0.03851430604018796,0.0,0.06392485580453824,0.0,0.031084079046804998,0.02670464817830624
Runx1t1,0.05702336413452363,0.0,0.056883840923596975,0.0,0.010826319622006586,0.024946704936025438
Srebf1,0.010409271902753505,0.0,0.009385213165113267,0.0,0.09634515959588581,0.023227928932750518
Foxc2,0.021859470995782355,0.0,0.014298767530606694,0.0,0.07913571371199622,0.023058790447677054
Ppargc1b,0.002676669917850907,0.0,0.017290684297714073,0.0,0.08539447166757845,0.021072365176628687
Gata2,0.0,0.0,0.0,0.0,0.10528992439321493,0.021057984878642987
Wnt10b,0.03053386424807695,0.0,0.025079008089189097,0.0,0.04697772749358807,0.020518119966170822
Gata3,0.0361147660885792,0.0,0.05256087925896186,0.0,0.011024641182539872,0.019940057306016185
Creb1,0.0,0.0,0.0,0.0,0.09803130088741527,0.019606260177483053
Wnt5b,0.04223190314831423,0.0,0.031023037852666295,0.0,0.015738090967686916,0.01779860639373349
Vdr,0.011710430890597694,0.0,0.013500112241825998,0.0,0.054266893804227515,0.015895487387330244
Ppargc1a,0.0,0.0,0.0,0.0,0.042226044513289505,0.0084452089026579
Acacb,0.014412838019197155,0.0,0.009191864364237037,0.0,0.001128934905186334,0.004946727457724105
Cdkn1a,0.0,0.0,0.0,0.0,0.02463470211017428,0.004926940422034856
Dkk1,0.0,0.0,0.0,0.0,0.015914082035703946,0.003182816407140789
