Gene,Mean_Ct_Ground,Mean_Ct_Flight,Std_Ground,Std_Flight,ΔΔCt,Fold_Change,log2_FC,t_statistic,p_value,p_adj_BH,Significant_FDR05,MannWhitney_p,-log10_p,Regulation,Pathway
Mapk14,27.716273875,28.94936375,1.4630722386809827,1.4437493583117686,1.233089875000001,0.4254053626188556,-1.233089875000001,-1.6967847399041625,0.1118517438016592,0.21640880865973192,False,0.08298368298368297,0.951357240735571,No Change,Other
Ncoa2,27.942059375,29.3656175,1.1370384575414627,0.8088725800696744,1.4235581249999996,0.37279175951996196,-1.4235581249999996,-2.8855099642773587,0.01307300039923991,0.08181140388426174,False,0.014763014763014764,1.8836247255572578,Downregulated,Other
Ncor2,27.550680375,28.971976625000003,1.0268274425946216,0.8403388408129419,1.4212962500000046,0.37337668542525115,-1.4212962500000046,-3.029745620068558,0.009340064473956333,0.08181140388426174,False,0.010411810411810413,2.0296501258484057,Downregulated,Other
Nr0b2,28.994056875,29.554458625,0.6979555352436628,0.9122571639588637,0.5604017500000005,0.678113301942806,-0.5604017500000005,-1.3799508947776942,0.1906930402569134,0.2977487821555314,False,0.13038073038073036,0.7196651571541778,No Change,Other
Nr1h3,26.8068935,27.920523125000003,1.0825672900239107,1.2215079836249751,1.1136296250000015,0.46212991101394074,-1.1136296250000015,-1.9298160436763285,0.07444523791202176,0.15836387582775366,False,0.028127428127428127,1.128163077826878,No Change,Other
Nrf1,28.505712125000002,29.256605125,0.989963637334139,0.6473824250625275,0.7508929999999978,0.5942356234180741,-0.7508929999999978,-1.7955342894036033,0.09764519510648025,0.19750959919265323,False,0.1605283605283605,1.01034912247426,No Change,Other
Ppara,30.02973375,31.418138250000002,1.376876799936181,2.9059140100464456,1.3884045000000036,0.38198701440721794,-1.3884045000000036,-1.2212317636838979,0.2500296895027327,0.37087737276238686,False,0.2786324786324786,0.6020084184414195,No Change,Other
Ppard,30.149314125000004,31.170884,1.4390389461489754,1.4703919556262157,1.0215698749999973,0.49258005734219373,-1.0215698749999973,-1.4044128868889152,0.18200169663425061,0.2945118363717874,False,0.23449883449883446,0.7399245634684505,No Change,Other
Pparg,25.2308005,26.773124,1.4248686000098396,1.7518044997043958,1.5423234999999984,0.34333206330799104,-1.5423234999999984,-1.9318571173227965,0.07473351443556914,0.15836387582775366,False,0.020668220668220667,1.1264845940306496,No Change,Adipogenesis/TF
Ppargc1a,29.802055375000002,30.160061,1.2789123474708544,1.3369123187229384,0.358005624999997,0.7802424380392653,-0.358005624999997,-0.547311383556844,0.5927998637897423,0.6594898484660883,False,0.6453768453768453,0.2270919048184889,No Change,Thermogenesis
Ppargc1b,29.433430875,29.89269875,1.0207249265673102,1.0877097156879352,0.4592678750000019,0.7273552762776128,-0.4592678750000019,-0.8708570145076343,0.3985776914795408,0.4996255569250582,False,0.32820512820512815,0.3994870125559103,No Change,Thermogenesis
Prdm16,29.561173750000002,30.05937275,1.1017844849999028,0.7902334590281799,0.4981989999999996,0.7079900548509379,-0.4981989999999996,-1.039269253373709,0.31806953903887714,0.4314274388304431,False,0.3822843822843822,0.49747792052095874,No Change,Thermogenesis
Rb1,27.588873125,29.261831,1.5024461321987501,1.5180059747048804,1.6729578750000016,0.31360970803153954,-1.6729578750000016,-2.2154771773763926,0.0438114072243891,0.12578113687002032,False,0.020668220668220667,1.3584127970393136,Downregulated,Cell Cycle
Retn,27.68616825,28.393478625,1.0807308564244513,0.8660961602092022,0.7073103749999987,0.6124608896638363,-0.7073103749999987,-1.4445055073984687,0.1716294849458299,0.28287081778109,False,0.1605283605283605,0.7654081008154886,No Change,Lipid Metabolism
Runx1t1,30.21042,30.422855125,1.6527199881007422,1.4917885451811999,0.2124351250000025,0.8630792097343661,-0.2124351250000025,-0.2698767812974121,0.7912329175380426,0.8094221800101815,False,0.6453768453768453,0.10169565315032282,No Change,Other
Rxra,26.780517874999997,27.869857875,0.6042483020150942,0.8513218586028335,1.0893400000000035,0.46997632886133206,-1.0893400000000035,-2.9513594635634117,0.011549613127560462,0.08181140388426174,False,0.006993006993006993,1.9374325629042741,Downregulated,Other
Sfrp1,29.118094125,31.0322835,2.216327339526776,1.8942555688888898,1.9141893749999994,0.2653209726611163,-1.9141893749999994,-1.8570024901485487,0.08498871501779671,0.1759068752693932,False,0.10489510489510488,1.0706387370017993,No Change,Other
Sfrp5,29.682572,30.960821875,2.3310356600831796,1.5392946660343627,1.2782498750000002,0.41229535850195,-1.2782498750000002,-1.2942722112550606,0.21967069097312747,0.3313676524848872,False,0.1605283605283605,0.6582278838976694,No Change,Other
Shh,33.773790874999996,31.696964,3.0410938304707047,1.33464181894084,-2.0768268749999947,4.218782979273274,2.0768268749999947,1.768752118615382,0.10862848775972987,0.21484300912479906,False,0.13038073038073036,0.9640562663270471,No Change,Signaling
Sirt1,28.545883375000003,29.854099249999997,1.911420136983714,1.279651942740766,1.3082158749999948,0.4038199594322047,-1.3082158749999948,-1.6086221660060425,0.13320357555049772,0.24194118824478156,False,0.06495726495726495,0.8754841173503314,No Change,Other
Sirt2,27.392211624999998,29.1167345,1.2650503046942936,1.472247384900377,1.7245228750000017,0.3025985805099065,-1.7245228750000017,-2.5128485073869924,0.025167453939173808,0.09502920130897545,False,0.014763014763014764,1.5991607175504263,Downregulated,Other
Sirt3,28.57780425,29.330622124999998,2.014519511606091,1.102507596368703,0.7528178749999981,0.5934433100451441,-0.7528178749999981,-0.9271982421641565,0.37399262284356893,0.47550490618682334,False,0.23449883449883446,0.4271369643501312,No Change,Other
Slc2a4,25.84276325,26.47019575,0.862229319176045,1.226234734770951,0.6274324999999976,0.6473274105402712,-0.6274324999999976,-1.1838636113278698,0.2583849769542335,0.37698791719552105,False,0.2786324786324786,0.5877327407371161,No Change,Glucose/Insulin
Src,29.764288375,30.211361500000002,0.6667342483975666,0.3588818899534661,0.44707312500000285,0.7335294911812952,-0.44707312500000285,-1.6700171553269605,0.12376150085897691,0.22947444950935303,False,0.19487179487179485,0.9074144325761462,No Change,Other
Srebf1,25.694609375,26.2688815,0.8800835812523619,1.4604139284385875,0.5742721250000002,0.6716250172038309,-0.5742721250000002,-0.952606688664209,0.36039678607890957,0.46485962262352104,False,0.3822843822843822,0.44321909059646647,No Change,Adipogenesis/TF
Taz,27.7598305,29.0398085,1.2120936297742961,0.9169748891082805,1.2799779999999998,0.41180178824937325,-1.2799779999999998,-2.381991463203232,0.03313687792499489,0.11103970293223209,False,0.010411810411810413,1.479688412145396,Downregulated,Other
